Position,Const,Created,Modified,Description,Name,Known For,Birth Date
122,nm0515891,2016-11-07,2016-11-07,,Luis Llosa,Anaconda,
123,nm0000601,2016-11-07,2016-11-07,,Harold Ramis,Ghostbusters,1944-11-21
124,nm0422484,2016-11-07,2016-11-07,,Norman Jewison,Jesus Christ Superstar,1926-07-21
125,nm0570912,2016-11-07,2016-11-07,,Adam McKay,The Other Guys,1968-04-17
126,nm1259604,2016-11-07,2016-11-07,,Marcos Efron,The Pink Chateau,
127,nm0001502,2016-11-07,2016-11-07,,Luis Mandoki,Voces inocentes,
128,nm0875793,2016-11-07,2016-11-07,,Anand Tucker,Girl with a Pearl Earring,1963-06-24
129,nm0000570,2016-11-07,2016-11-07,,Alan Parker,Evita,1944-02-14
130,nm0781842,2016-11-07,2016-11-07,,Peter Segal,Naked Gun 33 1/3: The Final Insult,
131,nm0000095,2016-11-07,2016-11-07,,Woody Allen,Manhattan,1935-12-01
132,nm0855035,2016-11-07,2016-11-07,,Andy Tennant,Fool's Gold,1955-06-15
133,nm0510912,2016-11-07,2016-11-07,,Justin Lin,Furious 6,1971-10-11
134,nm0680629,2016-11-07,2016-11-07,,Maurice Phillips,The American Way,1948-03-25
135,nm0398185,2016-11-07,2016-11-07,,Peter Howitt,Sliding Doors,1957-05-05
136,nm0000438,2016-11-07,2016-11-07,,Ed Harris,Apollo 13,1950-11-28
137,nm0000154,2016-11-07,2016-11-07,,Mel Gibson,Braveheart,1956-01-03
138,nm0671210,2016-11-07,2016-11-07,,Mark Pellington,Arlington Road,1962-03-17
139,nm0000881,2016-11-07,2016-11-07,,Michael Bay,Armageddon,1965-02-17
140,nm0030735,2016-11-07,2016-11-07,,Nimród Antal,Kontroll,1973-11-30
141,nm0178997,2016-11-07,2016-11-07,,Frank Coraci,The Wedding Singer,1966-02-03
142,nm0122653,2016-11-07,2016-11-07,,Edward Burns,Saving Private Ryan,1968-01-29
143,nm0000985,2016-11-07,2016-11-07,,James L. Brooks,Broadcast News,1940-05-09
144,nm0122335,2016-11-07,2016-11-07,,Allison Burnett,Autumn in New York,1958-12-16
145,nm0000380,2016-11-07,2016-11-07,,Robert Duvall,The Apostle,1931-01-05
146,nm0533284,2016-11-07,2016-11-07,,David Mackenzie,Hell or High Water,1966-05-10
147,nm0005563,2016-11-07,2016-11-07,,Irwin Winkler,Life as a House,1931-05-28
148,nm0942504,2016-11-07,2016-11-07,,Joe Wright,Pride & Prejudice,1972-08-25
149,nm0525303,2016-11-07,2016-11-07,,Baz Luhrmann,Moulin Rouge!,1962-09-17
150,nm0504802,2016-11-07,2016-11-07,,Sheldon Lettich,Max,1951-01-14
151,nm0440913,2016-11-07,2016-11-07,,Mathieu Kassovitz,Le fabuleux destin d'Amélie Poulain,1967-08-03
152,nm0327944,2016-11-07,2016-11-07,,Alejandro G. Iñárritu,Biutiful,1963-08-15
153,nm0005436,2016-11-07,2016-11-07,,John Singleton,Boyz n the Hood,1968-01-06
154,nm0742819,2016-11-07,2016-11-07,,Rick Rosenthal,Bad Boys,1949-06-15
155,nm0001206,2016-11-07,2016-11-07,,Abel Ferrara,Bad Lieutenant,1951-07-19
156,nm0146062,2016-11-07,2016-11-07,,Gilbert Cates,Absolute Strangers,1934-06-06
157,nm0438279,2016-11-07,2016-11-07,,Jonathan Kaplan,The Accused,1947-11-25
158,nm0000436,2016-11-07,2016-11-07,,Curtis Hanson,L.A. Confidential,1945-03-24
159,nm0001348,2016-11-07,2016-11-07,,Werner Herzog,"Aguirre, der Zorn Gottes",1942-09-05
160,nm0831557,2016-11-07,2016-11-07,,Nicholas Stoller,The Muppets,1976-03-19
161,nm0440458,2016-11-07,2016-11-07,,Jake Kasdan,Walk Hard: The Dewey Cox Story,1974-10-28
162,nm0847859,2016-11-07,2016-11-07,,David E. Talbert,Jingle Jangle: A Christmas Journey,
163,nm0001469,2016-11-07,2016-11-07,,Barry Levinson,Rain Man,1942-04-06
164,nm0389514,2016-11-07,2016-11-07,,David Hogan,Batman Forever,
165,nm1103162,2016-11-07,2016-11-07,,Tim Story,Fantastic Four,1970-03-13
166,nm0001532,2016-11-07,2016-11-07,,John McTiernan,Die Hard,1951-01-08
167,nm0000682,2016-11-07,2016-11-07,,Paul Verhoeven,RoboCop,1938-07-18
168,nm0634240,2016-11-07,2016-11-07,,Christopher Nolan,Inception,1970-07-30
169,nm0002337,2016-11-07,2016-11-07,,Roger Christian,Star Wars,1944-02-25
170,nm0005190,2016-11-07,2016-11-07,,Garry Marshall,A League of Their Own,1934-11-13
171,nm0000316,2016-11-07,2016-11-07,,Mel Brooks,Spaceballs,1926-06-28
172,nm0809321,2016-11-07,2016-11-07,,Mel Smith,The Princess Bride,1952-12-03
173,nm0505152,2016-11-07,2016-11-07,,Brian Levant,Still the Beaver,1952-08-06
174,nm0423646,2016-11-07,2016-11-07,,Roland Joffé,The Mission,1945-11-17
175,nm0000500,2016-11-07,2016-11-07,,Richard Linklater,Waking Life,1960-07-30
176,nm0262635,2016-11-07,2016-11-07,,Chris Evans,The Avengers,1981-06-13
177,nm0138809,2016-11-07,2016-11-07,,John Carney,Sing Street,
178,nm0005069,2016-11-07,2016-11-07,,Spike Jonze,Her,1969-10-22
179,nm0000490,2016-11-07,2016-11-07,,Spike Lee,Do the Right Thing,1957-03-20
180,nm0155642,2016-11-07,2016-11-07,,Siu-Tung Ching,Ying xiong,
181,nm0149446,2016-11-07,2016-11-07,,Gurinder Chadha,Bend It Like Beckham,1960-01-10
182,nm0002020,2016-11-07,2016-11-07,,Costa-Gavras,Missing,1933-02-12
183,nm0000976,2016-11-07,2016-11-07,,Martin Brest,Scent of a Woman,1951-08-08
184,nm0001188,2016-11-07,2016-11-07,,Nora Ephron,Julie & Julia,1941-05-19
185,nm1914394,2016-11-07,2016-11-07,,Timothy Woodward Jr.,The Call,
186,nm0000740,2016-11-07,2016-11-07,,Irwin Allen,The Towering Inferno,1916-06-12
187,nm1515266,2016-11-07,2016-11-07,,Jean-Baptiste Léonetti,Carré blanc,
188,nm0000720,2016-11-07,2016-11-07,,Jim Abrahams,Airplane!,1944-05-10
189,nm0331532,2016-11-07,2016-11-07,,Raja Gosnell,Never Been Kissed,1958-12-09
190,nm0378893,2016-11-07,2016-11-07,,Stephen Herek,Critters,1958-11-10
191,nm0000914,2016-11-07,2016-11-07,,Robert Benton,Kramer vs. Kramer,1932-09-29
192,nm0205542,2016-11-07,2016-11-07,,Tamra Davis,Crossroads,1962-01-22
193,nm0322242,2016-11-07,2016-11-07,,Jonathan Glazer,Under the Skin,1965-03-26
194,nm0125336,2016-11-07,2016-11-07,,Jez Butterworth,Edge of Tomorrow,
195,nm0112218,2016-11-07,2016-11-07,,Richard Brooks,Cat on a Hot Tin Roof,1912-05-18
196,nm0178376,2016-11-07,2016-11-07,,Scott Cooper,Crazy Heart,
197,nm0108132,2016-11-07,2016-11-07,,Craig Brewer,Hustle & Flow,1971-12-06
198,nm0004716,2016-11-07,2016-11-07,,Darren Aronofsky,Pi,1969-02-12
199,nm0692872,2016-11-07,2016-11-07,,Ted Post,Beneath the Planet of the Apes,1918-03-31
200,nm0706182,2016-11-07,2016-11-07,,Bob Rafelson,Five Easy Pieces,1933-02-21
201,nm0275286,2016-11-07,2016-11-07,,David S. Goyer,Dark City,1965-12-22
202,nm0001175,2016-11-07,2016-11-07,,Blake Edwards,The Pink Panther Strikes Again,1922-07-26
203,nm0005421,2016-11-07,2016-11-07,,Ron Shelton,Bull Durham,1945-09-15
204,nm0933505,2016-11-07,2016-11-07,,Hugh Wilson,Blast from the Past,1943-08-24
205,nm0817447,2016-11-07,2016-11-07,,Will Speck,The Switch,
206,nm0637518,2016-11-07,2016-11-07,,Phillip Noyce,Rabbit-Proof Fence,1950-04-29
207,nm0369635,2016-11-07,2016-11-07,,Michael Haussman,The Audition,
208,nm0133899,2016-11-07,2016-11-07,,Guillaume Canet,Jeux d'enfants,1973-04-10
209,nm0001130,2016-11-07,2016-11-07,,Ted Demme,Blow,1963-10-26
210,nm0000361,2016-11-07,2016-11-07,,Brian De Palma,Dressed to Kill,1940-09-11
211,nm0394280,2016-11-07,2016-11-07,,Stephen Hopkins,Lost in Space,
212,nm0001243,2016-11-07,2016-11-07,,William Friedkin,The French Connection,1935-08-29
213,nm0000186,2016-11-07,2016-11-07,,David Lynch,Twin Peaks,1946-01-20
214,nm0001410,2016-11-07,2016-11-07,,Lawrence Kasdan,The Big Chill,1949-01-14
215,nm0248942,2016-11-07,2016-11-07,,Uli Edel,Der Baader Meinhof Komplex,1947-04-11
216,nm0001135,2016-11-07,2016-11-07,,John Derek,The Ten Commandments,1926-08-12
217,nm0399737,2016-11-07,2016-11-07,,Reginald Hudlin,House Party,1961-12-15
218,nm0153078,2016-11-07,2016-11-07,,Larry Charles,Seinfeld,1956-12-01
219,nm0620471,2016-11-07,2016-11-07,,Rodion Nahapetov,Russkie v Gorode Angelov,1944-01-21
220,nm0740400,2016-11-07,2016-11-07,,Don Roos,The Opposite of Sex,1955-04-14
221,nm0000568,2016-11-07,2016-11-07,,Frank Oz,The Muppet Show,1944-05-25
222,nm0528337,2016-11-07,2016-11-07,,Jennifer Lynch,Chained,1968-04-07
223,nm0005303,2016-11-07,2016-11-07,,Kimberly Peirce,Boys Don't Cry,1967-09-08
224,nm0006889,2016-11-07,2016-11-07,,Herbert Ross,The Turning Point,1927-05-13
225,nm0622112,2016-11-07,2016-11-07,,Vincenzo Natali,Cube,1969-01-06
226,nm0379179,2016-11-07,2016-11-07,,Mark Herman,The Boy in the Striped Pyjamas,
227,nm0712753,2016-11-07,2016-11-07,,Billy Ray,Captain Phillips,
228,nm0609236,2016-11-07,2016-11-07,,Jonathan Mostow,Terminator 3: Rise of the Machines,1961-11-28
229,nm0748928,2016-11-07,2016-11-07,,Alan Rudolph,Trouble in Mind,1943-12-18
230,nm0005237,2016-11-07,2016-11-07,,Anthony Minghella,The Talented Mr. Ripley,1954-01-06
231,nm0001885,2016-11-07,2016-11-07,,Lars von Trier,Dancer in the Dark,1956-04-30
232,nm0001353,2016-11-07,2016-11-07,,Walter Hill,48 Hrs.,1942-01-10
233,nm0935095,2016-11-07,2016-11-07,,Gary Winick,Tadpole,1961-03-31
234,nm0082450,2016-11-07,2016-11-07,,Paul Feig,Freaks and Geeks,1962-09-17
235,nm0536632,2016-11-07,2016-11-07,,Sharon Maguire,Bridget Jones's Baby,1960-11-28
236,nm0788202,2016-11-07,2016-11-07,,Adam Shankman,Hairspray,1964-11-27
237,nm0000487,2016-11-07,2016-11-07,,Ang Lee,Wo hu cang long,1954-10-23
238,nm0000247,2016-11-07,2016-11-07,,John Woo,Ying hung boon sik,1946-09-22
239,nm0400441,2016-11-07,2016-11-07,,Allen Hughes,The Book of Eli,1972-04-01
240,nm0000464,2016-11-07,2016-11-07,,Jim Jarmusch,Broken Flowers,1953-01-22
241,nm0716347,2016-11-07,2016-11-07,,Nicolas Winding Refn,The Neon Demon,1970-09-29
242,nm1259871,2016-11-07,2016-11-07,,John Crowley,Boy A,1969-08-19
243,nm0298807,2016-11-07,2016-11-07,,Antoine Fuqua,The Magnificent Seven,1965-05-30
244,nm0006487,2016-11-07,2016-11-07,,Jim Sheridan,In America,1949-02-06
245,nm0001252,2016-11-07,2016-11-07,,Vincent Gallo,Buffalo '66,1961-04-11
246,nm0854697,2016-11-07,2016-11-07,,Julien Temple,Crock of Gold: A Few Rounds with Shane MacGowan,1953-11-26
247,nm0225416,2016-11-07,2016-11-07,,Ernest R. Dickerson,Do the Right Thing,1951-06-25
248,nm0000230,2016-11-07,2016-11-07,,Sylvester Stallone,Rocky,1946-07-06
249,nm0000886,2016-11-07,2016-11-07,,Warren Beatty,Bonnie and Clyde,1937-03-30
250,nm0181579,2016-11-07,2016-11-07,,Rodrigo Cortés,Buried,
251,nm0800533,2016-11-07,2016-11-07,,Yves Simoneau,Napoléon,1955-10-28
252,nm0337773,2016-11-07,2016-11-07,,David Gordon Green,Joe,1975-04-09
253,nm0337765,2016-11-07,2016-11-07,,David Green,Buster,1948-11-12
254,nm0001351,2016-11-07,2016-11-07,,George Roy Hill,The Sting,1921-12-20
255,nm0065608,2016-11-07,2016-11-07,,Walt Becker,Old Dogs,1968-09-16
256,nm0002044,2016-11-07,2016-11-07,,Roger Donaldson,The World's Fastest Indian,1945-11-15
257,nm0624102,2016-11-07,2016-11-07,,Hal Needham,Smokey and the Bandit,1931-03-06
258,nm0170719,2016-11-07,2016-11-07,,Nigel Cole,Saving Grace,
259,nm0711114,2016-11-07,2016-11-07,,Steve Rash,Can't Buy Me Love,
260,nm0006960,2016-11-07,2016-11-07,,John Madden,Shakespeare in Love,1949-04-08
261,nm0573796,2016-11-07,2016-11-07,,John McNaughton,Henry: Portrait of a Serial Killer,1950-01-13
262,nm0587955,2016-11-07,2016-11-07,,Bennett Miller,Foxcatcher,1966-12-30
263,nm0339030,2016-11-07,2016-11-07,,Paul Greengrass,United 93,1955-08-13
264,nm0248054,2016-11-07,2016-11-07,,Thom Eberhardt,Without a Clue,1947-03-07
265,nm0691078,2016-11-07,2016-11-07,,Angela Pope,Hollow Reed,
266,nm0020491,2016-11-07,2016-11-07,,Elizabeth Allen Rosenbaum,Dead to Me,
267,nm1883612,2016-11-07,2016-11-07,,Àlex Pastor,Carriers,1981-03-13
268,nm0023355,2016-11-07,2016-11-07,,Christian Alvart,Pandorum,1974-05-28
269,nm0132709,2016-11-07,2016-11-07,,Martin Campbell,Casino Royale,1943-10-24
270,nm0797869,2016-11-07,2016-11-07,,Brad Silberling,City of Angels,1963-09-08
271,nm0685759,2016-11-07,2016-11-07,,Pitof,Vidocq,1957-07-04
272,nm0254786,2016-11-07,2016-11-07,,David R. Ellis,The Matrix Reloaded,1952-09-08
273,nm0585011,2016-11-07,2016-11-07,,Roger Michell,Notting Hill,1956-06-05
274,nm0317638,2016-11-07,2016-11-07,,Tony Giglio,Chaos,1971-06-03
275,nm0399853,2016-11-07,2016-11-07,,Hugh Hudson,Chariots of Fire,1936-08-25
276,nm0001566,2016-11-07,2016-11-07,,Mike Nichols,The Graduate,1931-11-06
277,nm0629334,2016-11-07,2016-11-07,,McG,Charlie's Angels: Full Throttle,1968-08-09
278,nm0000788,2016-11-07,2016-11-07,,Gillian Armstrong,Little Women,1950-12-18
279,nm0003620,2016-11-07,2016-11-07,,Kevin Smith,Clerks,1970-08-02
280,nm0506613,2016-11-07,2016-11-07,,Shawn Levy,Stranger Things,1968-07-23
281,nm0551128,2016-11-07,2016-11-07,,Rob Marshall,Chicago,1960-10-17
282,nm1174251,2016-11-07,2016-11-07,,Daniel Espinosa,Snabba cash,1977-03-23
283,nm0276169,2016-11-07,2016-11-07,,Tom Holland,Fright Night,1943-07-11
284,nm0354279,2016-11-07,2016-11-07,,Randa Haines,Antwone Fisher,1945-02-20
285,nm0190859,2016-11-07,2016-11-07,,Alfonso Cuarón,Gravity,1961-11-28
286,nm0001994,2016-11-07,2016-11-07,,Michael Caton-Jones,Memphis Belle,1957-10-15
287,nm0881038,2016-11-07,2016-11-07,,Ron Underwood,Tremors,1953-11-06
288,nm0229694,2016-11-07,2016-11-07,,David Dobkin,The Judge,1969-06-23
289,nm0001317,2016-11-07,2016-11-07,,Renny Harlin,Driven,1959-03-15
290,nm0000277,2016-11-07,2016-11-07,,Richard Attenborough,Jurassic Park,1923-08-29
291,nm0000801,2016-11-07,2016-11-07,,Olivier Assayas,Personal Shopper,1955-01-25
292,nm0002132,2016-11-07,2016-11-07,,Amy Heckerling,Clueless,1954-05-07
293,nm0141961,2016-11-07,2016-11-07,,Thomas Carter,Coach Carter,1953-07-17
294,nm0181902,2016-11-07,2016-11-07,,George P. Cosmatos,Rambo: First Blood Part II,1941-01-04
295,nm0001214,2016-11-07,2016-11-07,,Mike Figgis,Leaving Las Vegas,1948-02-28
296,nm0576298,2016-11-07,2016-11-07,,Olivier Megaton,Transporter 3,1965-08-06
297,nm0750701,2016-11-07,2016-11-07,,Richard Rush,The Stunt Man,1929-04-15
298,nm0000454,2016-11-07,2016-11-07,,Dennis Hopper,Easy Rider,1936-05-17
299,nm0504495,2016-11-07,2016-11-07,,Mark L. Lester,Firestarter,1946-11-26
300,nm0168079,2016-11-07,2016-11-07,,Egidio Coccimiglio,Compulsion,
301,nm0922346,2016-11-07,2016-11-07,,Simon West,Lara Croft: Tomb Raider,
302,nm0281507,2016-11-07,2016-11-07,,Richard Fleischer,Soylent Green,1916-12-08
303,nm0000123,2016-11-07,2016-11-07,,George Clooney,Michael Clayton,1961-05-06
304,nm0001226,2016-11-07,2016-11-07,,James Foley,At Close Range,1953-12-28
